s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,rk_x075_z020,rk_x075_z035,rk_x075_z050,rk_x075_z070,rk_x075_z100,rk_x090_z020,rk_x090_z035,rk_x090_z050,rk_x090_z070,rk_x090_z100,rk_x105_z020,rk_x105_z035,rk_x105_z050,rk_x105_z070,rk_x105_z100,rk_x120_z020,rk_x120_z035,rk_x120_z050,rk_x120_z070,rk_x120_z100,rk_x135_z020,rk_x135_z035,rk_x135_z050,rk_x135_z070,rk_x135_z100,rk_x150_z020,rk_x150_z035,rk_x150_z050,rk_x150_z070,rk_x150_z100,Tmax_core,Tmax_T1cell,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-7.53443E-006, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 1.00307E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50126E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50158E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50214E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50003E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51504E+001, 2.50007E+001, 1.80057E-005, 2.06860E-001, 4.91495E-003, 2.30000E-001, 2.50010E+001, 2.50010E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 2.00163E+000, 2.50001E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 2.52969E+001, 2.50051E+001, 2.50001E+001, 2.50001E+001, 2.50000E+001, 2.53987E+001, 2.50074E+001, 2.50002E+001, 2.50001E+001, 2.50001E+001, 2.53567E+001, 2.50060E+001, 2.50001E+001, 2.50001E+001, 2.50000E+001, 2.50109E+001, 2.50005E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50015E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50000E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.63493E+001, 2.50359E+001, 1.30704E-004, 2.06860E-001, 5.77887E-002, 2.30000E-001, 2.50214E+001, 2.50214E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.30066E+001, 2.50000E+001
 3.00020E+000, 2.50005E+001, 2.50002E+001, 2.50002E+001, 2.50001E+001, 2.50002E+001, 2.50002E+001, 2.50002E+001, 2.66573E+001, 2.51407E+001, 2.50021E+001, 2.50003E+001, 2.50002E+001, 2.79508E+001, 2.53140E+001, 2.50032E+001, 2.50003E+001, 2.50002E+001, 2.67002E+001, 2.51424E+001, 2.50021E+001, 2.50003E+001, 2.50002E+001, 2.50657E+001, 2.50074E+001, 2.50005E+001, 2.50003E+001, 2.50002E+001, 2.50113E+001, 2.50016E+001, 2.50003E+001, 2.50003E+001, 2.50002E+001, 2.50006E+001, 2.50003E+001, 2.50003E+001, 2.50002E+001, 2.50002E+001, 2.92640E+001, 2.60360E+001, 3.58290E-004, 2.06860E-001, 2.19714E-001, 2.30000E-001, 2.50667E+001, 2.50667E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001
 4.00327E+000, 2.50172E+001, 2.50006E+001, 2.50005E+001, 2.50004E+001, 2.50005E+001, 2.50005E+001, 2.50005E+001, 2.74842E+001, 2.64816E+001, 2.58215E+001, 2.52366E+001, 2.50007E+001, 3.14507E+001, 2.93528E+001, 2.72479E+001, 2.58553E+001, 2.50007E+001, 2.74455E+001, 2.64694E+001, 2.57813E+001, 2.52105E+001, 2.50006E+001, 2.51086E+001, 2.50786E+001, 2.50172E+001, 2.50016E+001, 2.50006E+001, 2.50254E+001, 2.50133E+001, 2.50024E+001, 2.50008E+001, 2.50006E+001, 2.50019E+001, 2.50011E+001, 2.50007E+001, 2.50007E+001, 2.50006E+001, 3.28670E+001, 3.03148E+001, 7.02095E-004, 2.06860E-001, 6.02631E-001, 2.30000E-001, 2.50838E+001, 2.50838E+001, 2.30000E-001, 2.50005E+001, 2.50003E+001, 2.30000E-001, 2.50005E+001, 2.50003E+001
 5.00183E+000, 2.50881E+001, 2.50012E+001, 2.50010E+001, 2.50007E+001, 2.50010E+001, 2.50011E+001, 2.50010E+001, 2.77572E+001, 2.62624E+001, 2.60935E+001, 2.62214E+001, 2.58318E+001, 3.53649E+001, 3.21395E+001, 3.03412E+001, 2.92699E+001, 2.73238E+001, 2.77191E+001, 2.62012E+001, 2.60501E+001, 2.61675E+001, 2.57810E+001, 2.50939E+001, 2.50881E+001, 2.50881E+001, 2.50724E+001, 2.50273E+001, 2.50244E+001, 2.50240E+001, 2.50174E+001, 2.50111E+001, 2.50034E+001, 2.50035E+001, 2.50027E+001, 2.50019E+001, 2.50015E+001, 2.50013E+001, 3.77805E+001, 3.34580E+001, 1.16156E-003, 2.06860E-001, 1.27898E+000, 2.30000E-001, 2.51035E+001, 2.51035E+001, 2.30000E-001, 2.50011E+001, 2.50007E+001, 2.30000E-001, 2.50010E+001, 2.50007E+001
 6.00040E+000, 2.50768E+001, 2.50509E+001, 2.50115E+001, 2.50012E+001, 2.50017E+001, 2.50019E+001, 2.50018E+001, 2.82916E+001, 2.66703E+001, 2.64030E+001, 2.62790E+001, 2.61429E+001, 3.98746E+001, 3.55298E+001, 3.31043E+001, 3.15812E+001, 2.96834E+001, 2.80347E+001, 2.65217E+001, 2.62617E+001, 2.61327E+001, 2.60086E+001, 2.51031E+001, 2.50772E+001, 2.50768E+001, 2.50808E+001, 2.50955E+001, 2.50255E+001, 2.50231E+001, 2.50224E+001, 2.50224E+001, 2.50216E+001, 2.50050E+001, 2.50045E+001, 2.50038E+001, 2.50033E+001, 2.50027E+001, 4.42815E+001, 3.73868E+001, 1.73585E-003, 2.06860E-001, 2.30763E+000, 2.30000E-001, 2.51392E+001, 2.51392E+001, 2.30000E-001, 2.50019E+001, 2.50012E+001, 2.30000E-001, 2.50019E+001, 2.50011E+001
 7.00347E+000, 2.50830E+001, 2.51182E+001, 2.62442E+001, 2.50018E+001, 2.50026E+001, 2.50031E+001, 2.50029E+001, 2.93465E+001, 2.70968E+001, 2.68584E+001, 2.67506E+001, 2.66150E+001, 4.51586E+001, 3.92123E+001, 3.61092E+001, 3.41811E+001, 3.17789E+001, 2.88951E+001, 2.68682E+001, 2.66131E+001, 2.64929E+001, 2.63371E+001, 2.51215E+001, 2.50824E+001, 2.50830E+001, 2.50875E+001, 2.51005E+001, 2.50292E+001, 2.50244E+001, 2.50248E+001, 2.50263E+001, 2.50308E+001, 2.50070E+001, 2.50064E+001, 2.50059E+001, 2.50056E+001, 2.50053E+001, 5.19716E+001, 4.15408E+001, 2.42857E-003, 2.06860E-001, 3.75335E+000, 2.30000E-001, 2.51788E+001, 2.51788E+001, 2.30000E-001, 2.50031E+001, 2.50018E+001, 2.30000E-001, 2.50030E+001, 2.50017E+001
 8.00203E+000, 2.50919E+001, 2.51350E+001, 2.68297E+001, 2.50025E+001, 2.50037E+001, 2.50044E+001, 2.50042E+001, 3.06269E+001, 2.76593E+001, 2.73730E+001, 2.72511E+001, 2.71125E+001, 5.08213E+001, 4.30036E+001, 3.92294E+001, 3.68723E+001, 3.38861E+001, 2.99646E+001, 2.73201E+001, 2.70000E+001, 2.68564E+001, 2.66889E+001, 2.51427E+001, 2.50918E+001, 2.50919E+001, 2.50988E+001, 2.51148E+001, 2.50338E+001, 2.50269E+001, 2.50275E+001, 2.50299E+001, 2.50362E+001, 2.50094E+001, 2.50086E+001, 2.50081E+001, 2.50080E+001, 2.50079E+001, 6.05895E+001, 4.60329E+001, 3.24039E-003, 2.06860E-001, 5.49450E+000, 2.30000E-001, 2.52151E+001, 2.52151E+001, 2.30000E-001, 2.50045E+001, 2.50025E+001, 2.30000E-001, 2.50044E+001, 2.50024E+001
